Temperature(°C),Humidity(%),Wind speed (m/s),Solar Radiation (MJ/m2),Month,Weekday,Hour,Holiday,Seasons,Rented Bike Count
-5.2,37,2.2,0.0,12.0,6.0,1.0,0.0,2.0,254
-5.5,38,0.8,0.0,12.0,6.0,1.0,0.0,2.0,204
-6.0,39,1.0,0.0,12.0,6.0,1.0,0.0,2.0,173
-6.2,40,0.9,0.0,12.0,6.0,1.0,0.0,2.0,107
-6.0,36,2.3,0.0,12.0,6.0,1.0,0.0,2.0,78
-6.4,37,1.5,0.0,12.0,6.0,1.0,0.0,2.0,100
-6.6,35,1.3,0.0,12.0,6.0,1.0,0.0,2.0,181
-7.4,38,0.9,0.0,12.0,6.0,2.0,0.0,2.0,460
-7.6,37,1.1,0.01,12.0,6.0,2.0,0.0,2.0,930
-6.5,27,0.5,0.23,12.0,6.0,2.0,0.0,2.0,490
-3.5,24,1.2,0.65,12.0,6.0,2.0,0.0,2.0,339
-0.5,21,1.3,0.94,12.0,6.0,,0.0,2.0,360
1.7,23,1.4,1.11,12.0,6.0,,0.0,2.0,449
2.4,25,1.6,1.16,12.0,6.0,,0.0,2.0,451
3.0,26,2.0,1.01,12.0,6.0,,0.0,2.0,447
2.1,36,3.2,0.54,12.0,6.0,,0.0,2.0,463
1.2,54,4.2,0.24,12.0,6.0,,0.0,2.0,484
0.8,58,1.6,0.08,12.0,6.0,4.0,0.0,2.0,555
0.6,66,1.4,0.0,12.0,6.0,4.0,0.0,2.0,862
0.0,77,1.7,0.0,12.0,6.0,4.0,0.0,2.0,600
-0.3,79,1.5,0.0,12.0,6.0,4.0,0.0,2.0,426
-0.8,81,0.8,0.0,12.0,6.0,4.0,0.0,2.0,405
-0.9,83,1.5,0.0,12.0,6.0,4.0,0.0,2.0,398
-1.3,84,1.0,0.0,12.0,6.0,1.0,0.0,2.0,323
-1.8,87,1.1,0.0,12.0,7.0,1.0,0.0,2.0,328
-2.2,86,0.6,0.0,12.0,7.0,1.0,0.0,2.0,308
-2.9,86,1.5,0.0,12.0,7.0,1.0,0.0,2.0,262
-3.5,81,2.2,0.0,12.0,7.0,1.0,0.0,2.0,167
-3.8,79,2.0,0.0,12.0,7.0,1.0,0.0,2.0,89
-4.0,79,1.5,0.0,12.0,7.0,1.0,0.0,2.0,79
-4.3,82,2.1,0.0,12.0,7.0,1.0,0.0,2.0,70
-4.4,81,2.5,0.0,12.0,7.0,2.0,0.0,2.0,146
-4.2,79,2.1,0.01,12.0,7.0,2.0,0.0,2.0,219
-2.9,68,1.6,0.3,12.0,7.0,2.0,0.0,2.0,328
-0.4,57,1.6,0.8,12.0,7.0,2.0,0.0,2.0,334
1.9,49,1.8,1.0,12.0,7.0,,0.0,2.0,388
4.3,41,1.3,1.09,12.0,7.0,,0.0,2.0,479
6.0,36,1.8,1.12,12.0,7.0,,0.0,2.0,606
7.3,35,1.3,0.99,12.0,7.0,,0.0,2.0,611
7.6,41,2.3,0.74,12.0,7.0,,0.0,2.0,589
6.4,48,2.6,0.22,12.0,7.0,,0.0,2.0,618
6.0,51,2.5,0.06,12.0,7.0,4.0,0.0,2.0,572
5.5,53,1.5,0.0,12.0,7.0,4.0,0.0,2.0,489
5.0,52,2.3,0.0,12.0,7.0,4.0,0.0,2.0,385
4.6,51,1.2,0.0,12.0,7.0,4.0,0.0,2.0,359
4.1,55,1.2,0.0,12.0,7.0,4.0,0.0,2.0,377
3.5,54,1.5,0.0,12.0,7.0,4.0,0.0,2.0,354
4.0,56,1.0,0.0,12.0,7.0,1.0,0.0,2.0,366
4.0,58,1.4,0.0,12.0,1.0,1.0,0.0,2.0,342
3.9,69,1.7,0.0,12.0,1.0,1.0,0.0,2.0,227
3.3,79,1.4,0.0,12.0,1.0,1.0,0.0,2.0,228
3.4,71,1.6,0.0,12.0,1.0,1.0,0.0,2.0,117
3.5,73,1.0,0.0,12.0,1.0,1.0,0.0,2.0,76
3.9,75,1.9,0.0,12.0,1.0,1.0,0.0,2.0,32
3.4,86,2.5,0.0,12.0,1.0,1.0,0.0,2.0,13
3.1,91,1.2,0.0,12.0,1.0,2.0,0.0,2.0,22
3.2,92,1.8,0.0,12.0,1.0,2.0,0.0,2.0,85
3.5,91,1.8,0.02,12.0,1.0,2.0,0.0,2.0,152
4.4,89,2.2,0.24,12.0,1.0,2.0,0.0,2.0,200
5.1,87,1.4,0.25,12.0,1.0,,0.0,2.0,273
5.8,85,1.7,0.43,12.0,1.0,,0.0,2.0,333
6.8,81,1.9,0.6,12.0,1.0,,0.0,2.0,495
7.6,76,1.2,0.69,12.0,1.0,,0.0,2.0,563
8.0,73,1.6,0.53,12.0,1.0,,0.0,2.0,621
7.6,77,1.6,0.2,12.0,1.0,,0.0,2.0,598
6.7,82,1.5,0.05,12.0,1.0,4.0,0.0,2.0,545
6.0,84,1.9,0.0,12.0,1.0,4.0,0.0,2.0,443
5.7,85,1.7,0.0,12.0,1.0,4.0,0.0,2.0,422
5.2,87,1.4,0.0,12.0,1.0,4.0,0.0,2.0,397
4.7,87,1.2,0.0,12.0,1.0,4.0,0.0,2.0,385
4.3,89,1.8,0.0,12.0,1.0,4.0,0.0,2.0,350
3.9,90,1.3,0.0,12.0,1.0,1.0,0.0,2.0,303
4.2,88,0.6,0.0,12.0,2.0,1.0,0.0,2.0,285
4.3,87,0.5,0.0,12.0,2.0,1.0,0.0,2.0,186
4.4,87,1.8,0.0,12.0,2.0,1.0,0.0,2.0,112
3.6,85,2.3,0.0,12.0,2.0,1.0,0.0,2.0,65
2.8,89,1.5,0.0,12.0,2.0,1.0,0.0,2.0,41
2.0,83,2.7,0.0,12.0,2.0,1.0,0.0,2.0,82
1.2,76,3.7,0.0,12.0,2.0,1.0,0.0,2.0,200
0.2,68,3.4,0.0,12.0,2.0,2.0,0.0,2.0,498
-0.8,69,3.5,0.01,12.0,2.0,2.0,0.0,2.0,937
-1.5,47,4.2,0.22,12.0,2.0,2.0,0.0,2.0,509
-1.1,40,4.5,0.64,12.0,2.0,2.0,0.0,2.0,311
-0.5,41,4.1,0.94,12.0,2.0,,0.0,2.0,379
-0.3,38,4.8,1.11,12.0,2.0,,0.0,2.0,393
0.0,30,5.4,1.17,12.0,2.0,,0.0,2.0,391
0.1,27,4.5,1.09,12.0,2.0,,0.0,2.0,338
-0.1,25,5.8,0.88,12.0,2.0,,0.0,2.0,341
-0.2,23,4.7,0.55,12.0,2.0,,0.0,2.0,375
-1.3,26,5.3,0.18,12.0,2.0,4.0,0.0,2.0,515
-2.1,29,3.9,0.0,12.0,2.0,4.0,0.0,2.0,807
-2.9,32,3.2,0.0,12.0,2.0,4.0,0.0,2.0,568
-3.6,38,3.0,0.0,12.0,2.0,4.0,0.0,2.0,398
-4.6,43,4.5,0.0,12.0,2.0,4.0,0.0,2.0,397
-5.3,45,2.5,0.0,12.0,2.0,4.0,0.0,2.0,353
-5.8,44,2.4,0.0,12.0,2.0,1.0,0.0,2.0,248
-6.1,42,2.6,0.0,12.0,3.0,1.0,0.0,2.0,216
-6.5,41,2.8,0.0,12.0,3.0,1.0,0.0,2.0,198
-6.8,41,2.5,0.0,12.0,3.0,1.0,0.0,2.0,124
-6.9,39,2.0,0.0,12.0,3.0,1.0,0.0,2.0,62
-7.2,34,3.0,0.0,12.0,3.0,1.0,0.0,2.0,42
-7.4,33,2.6,0.0,12.0,3.0,1.0,0.0,2.0,82
-7.4,34,3.2,0.0,12.0,3.0,1.0,0.0,2.0,172
-7.5,33,2.2,0.0,12.0,3.0,2.0,0.0,2.0,381
-8.1,36,1.6,0.01,12.0,3.0,2.0,0.0,2.0,812
-7.6,31,1.3,0.21,12.0,3.0,2.0,0.0,2.0,462
-5.5,26,2.8,0.64,12.0,3.0,2.0,0.0,2.0,269
-3.9,25,0.0,0.0,12.0,3.0,,0.0,2.0,334
-2.3,25,0.0,0.0,12.0,3.0,,0.0,2.0,321
-1.6,27,0.0,0.0,12.0,3.0,,0.0,2.0,325
-1.1,28,0.0,0.0,12.0,3.0,,0.0,2.0,334
-0.7,28,0.0,0.0,12.0,3.0,,0.0,2.0,353
-0.5,30,0.0,0.0,12.0,3.0,,0.0,2.0,435
-1.6,35,0.0,0.0,12.0,3.0,4.0,0.0,2.0,529
-2.6,40,0.0,0.0,12.0,3.0,4.0,0.0,2.0,789
-3.2,45,0.0,0.0,12.0,3.0,4.0,0.0,2.0,597
-3.5,46,0.0,0.0,12.0,3.0,4.0,0.0,2.0,418
-3.7,47,0.0,0.0,12.0,3.0,4.0,0.0,2.0,415
-2.8,49,0.0,0.0,12.0,3.0,4.0,0.0,2.0,393
-2.5,59,0.0,0.0,12.0,3.0,1.0,0.0,2.0,244
-2.8,77,0.0,0.0,12.0,4.0,1.0,0.0,2.0,145
-3.0,79,0.0,0.0,12.0,4.0,1.0,0.0,2.0,144
-3.0,79,0.0,0.0,12.0,4.0,1.0,0.0,2.0,117
-3.2,78,0.0,0.0,12.0,4.0,1.0,0.0,2.0,78
-3.4,75,0.0,0.0,12.0,4.0,1.0,0.0,2.0,58
-3.6,76,0.0,0.0,12.0,4.0,1.0,0.0,2.0,87
-3.7,76,0.0,0.0,12.0,4.0,1.0,0.0,2.0,142
-4.2,77,0.0,0.0,12.0,4.0,2.0,0.0,2.0,379
-4.2,78,0.0,0.01,12.0,4.0,2.0,0.0,2.0,802
-3.3,70,0.0,0.25,12.0,4.0,2.0,0.0,2.0,440
-0.9,64,0.0,0.63,12.0,4.0,2.0,0.0,2.0,307
1.6,57,1.2,0.93,12.0,4.0,,0.0,2.0,381
2.4,52,0.9,1.08,12.0,4.0,,0.0,2.0,405
4.2,47,1.1,1.1,12.0,4.0,,0.0,2.0,442
5.5,34,1.0,0.96,12.0,4.0,,0.0,2.0,416
5.5,31,3.1,0.72,12.0,4.0,,0.0,2.0,412
5.3,37,2.9,0.36,12.0,4.0,,0.0,2.0,496
4.1,60,2.5,0.1,12.0,4.0,4.0,0.0,2.0,239
1.7,90,1.0,0.0,12.0,4.0,4.0,0.0,2.0,204
1.2,92,0.7,0.0,12.0,4.0,4.0,0.0,2.0,205
1.2,94,0.6,0.0,12.0,4.0,4.0,0.0,2.0,190
1.1,92,0.5,0.0,12.0,4.0,4.0,0.0,2.0,165
1.3,92,0.6,0.0,12.0,4.0,4.0,0.0,2.0,222
1.3,92,0.6,0.0,12.0,4.0,1.0,0.0,2.0,193
1.4,92,0.5,0.0,12.0,5.0,1.0,0.0,2.0,198
1.5,92,0.4,0.0,12.0,5.0,1.0,0.0,2.0,218
1.4,92,0.7,0.0,12.0,5.0,1.0,0.0,2.0,149
1.9,91,1.4,0.0,12.0,5.0,1.0,0.0,2.0,102
1.6,92,0.7,0.0,12.0,5.0,1.0,0.0,2.0,62
1.5,92,1.1,0.0,12.0,5.0,1.0,0.0,2.0,83
1.0,93,0.5,0.0,12.0,5.0,1.0,0.0,2.0,137
0.3,93,0.5,0.0,12.0,5.0,2.0,0.0,2.0,367
-0.2,96,0.8,0.01,12.0,5.0,2.0,0.0,2.0,754
0.1,91,0.8,0.14,12.0,5.0,2.0,0.0,2.0,415
1.1,83,0.7,0.41,12.0,5.0,2.0,0.0,2.0,321
2.3,69,1.7,0.63,12.0,5.0,,0.0,2.0,333
3.7,65,2.4,0.98,12.0,5.0,,0.0,2.0,431
4.1,37,3.1,1.14,12.0,5.0,,0.0,2.0,394
4.4,36,2.7,1.04,12.0,5.0,,0.0,2.0,390
4.0,35,3.1,0.84,12.0,5.0,,0.0,2.0,430
3.2,38,2.9,0.51,12.0,5.0,,0.0,2.0,471
2.1,50,2.0,0.15,12.0,5.0,4.0,0.0,2.0,552
0.7,46,2.7,0.0,12.0,5.0,4.0,0.0,2.0,795
-0.4,47,2.5,0.0,12.0,5.0,4.0,0.0,2.0,507
-1.4,47,2.5,0.0,12.0,5.0,4.0,0.0,2.0,390
-2.2,46,2.2,0.0,12.0,5.0,4.0,0.0,2.0,402
-2.7,48,2.6,0.0,12.0,5.0,4.0,0.0,2.0,389
-3.2,50,2.1,0.0,12.0,5.0,1.0,0.0,2.0,259
-3.5,49,2.6,0.0,12.0,6.0,1.0,0.0,2.0,233
-3.7,50,2.5,0.0,12.0,6.0,1.0,0.0,2.0,230
-4.3,53,1.0,0.0,12.0,6.0,1.0,0.0,2.0,131
-4.8,52,1.6,0.0,12.0,6.0,1.0,0.0,2.0,99
-5.3,53,2.4,0.0,12.0,6.0,1.0,0.0,2.0,71
-5.8,56,2.0,0.0,12.0,6.0,1.0,0.0,2.0,84
-6.0,56,3.5,0.0,12.0,6.0,1.0,0.0,2.0,158
-6.5,57,0.8,0.0,12.0,6.0,2.0,0.0,2.0,387
-7.0,59,0.8,0.01,12.0,6.0,2.0,0.0,2.0,780
-6.7,50,0.9,0.23,12.0,6.0,2.0,0.0,2.0,395
-5.3,44,2.8,0.63,12.0,6.0,2.0,0.0,2.0,261
-3.7,39,1.4,0.93,12.0,6.0,,0.0,2.0,310
-2.0,30,1.4,1.14,12.0,6.0,,0.0,2.0,355
-1.7,28,1.8,1.22,12.0,6.0,,0.0,2.0,354
-1.3,27,3.1,1.12,12.0,6.0,,0.0,2.0,350
-0.8,26,3.3,0.87,12.0,6.0,,0.0,2.0,362
-1.1,24,3.4,0.56,12.0,6.0,,0.0,2.0,401
-2.4,30,2.7,0.18,12.0,6.0,4.0,0.0,2.0,500
-3.1,33,1.2,0.0,12.0,6.0,4.0,0.0,2.0,752
-3.3,35,1.1,0.0,12.0,6.0,4.0,0.0,2.0,477
-3.3,34,1.5,0.0,12.0,6.0,4.0,0.0,2.0,384
-3.3,35,0.5,0.0,12.0,6.0,4.0,0.0,2.0,336
-3.4,39,1.2,0.0,12.0,6.0,4.0,0.0,2.0,347
-3.5,43,0.9,0.0,12.0,6.0,1.0,0.0,2.0,275
-3.5,48,0.9,0.0,12.0,7.0,1.0,0.0,2.0,267
-4.1,49,0.6,0.0,12.0,7.0,1.0,0.0,2.0,296
-4.7,50,0.7,0.0,12.0,7.0,1.0,0.0,2.0,237
-4.3,47,0.6,0.0,12.0,7.0,1.0,0.0,2.0,169
-4.3,49,0.7,0.0,12.0,7.0,1.0,0.0,2.0,96
-4.7,49,0.8,0.0,12.0,7.0,1.0,0.0,2.0,56
-5.1,53,0.9,0.0,12.0,7.0,1.0,0.0,2.0,76
-5.5,56,0.8,0.0,12.0,7.0,2.0,0.0,2.0,127
-5.4,56,0.7,0.01,12.0,7.0,2.0,0.0,2.0,222
-4.7,48,1.0,0.23,12.0,7.0,2.0,0.0,2.0,291
-2.2,42,1.3,0.61,12.0,7.0,2.0,0.0,2.0,273
0.0,45,1.1,0.89,12.0,7.0,,0.0,2.0,351
2.4,40,0.8,1.05,12.0,7.0,,0.0,2.0,427
3.9,36,2.0,1.13,12.0,7.0,,0.0,2.0,431
4.7,32,2.2,1.06,12.0,7.0,,0.0,2.0,486
5.2,30,2.0,0.84,12.0,7.0,,0.0,2.0,569
4.4,33,1.6,0.4,12.0,7.0,,0.0,2.0,546
3.5,37,1.8,0.1,12.0,7.0,4.0,0.0,2.0,481
2.5,41,1.0,0.0,12.0,7.0,4.0,0.0,2.0,384
1.5,48,0.4,0.0,12.0,7.0,4.0,0.0,2.0,275
0.8,51,1.4,0.0,12.0,7.0,4.0,0.0,2.0,298
-0.1,55,0.7,0.0,12.0,7.0,4.0,0.0,2.0,321
-0.5,55,0.6,0.0,12.0,7.0,4.0,0.0,2.0,289
-0.1,54,1.3,0.0,12.0,7.0,1.0,0.0,2.0,265
-0.2,55,1.0,0.0,12.0,1.0,1.0,0.0,2.0,326
