Temperature(°C),Humidity(%),Wind speed (m/s),Solar Radiation (MJ/m2),Visibility (10m),Month,Weekday,Hour,Holiday,Seasons,Rented Bike Count
-5.2,37,2.2,0.0,2000,December,Friday,12 AM - 4 AM,No,Winter,254
-5.5,38,0.8,0.0,2000,December,Friday,12 AM - 4 AM,No,Winter,204
-6.0,39,1.0,0.0,2000,December,Friday,12 AM - 4 AM,No,Winter,173
-6.2,40,0.9,0.0,2000,December,Friday,12 AM - 4 AM,No,Winter,107
-6.0,36,2.3,0.0,2000,December,Friday,4 AM - 8 AM,No,Winter,78
-6.4,37,1.5,0.0,2000,December,Friday,4 AM - 8 AM,No,Winter,100
-6.6,35,1.3,0.0,2000,December,Friday,4 AM - 8 AM,No,Winter,181
-7.4,38,0.9,0.0,2000,December,Friday,4 AM - 8 AM,No,Winter,460
-7.6,37,1.1,0.01,2000,December,Friday,8 AM - 12 PM,No,Winter,930
-6.5,27,0.5,0.23,1928,December,Friday,8 AM - 12 PM,No,Winter,490
-3.5,24,1.2,0.65,1996,December,Friday,8 AM - 12 PM,No,Winter,339
-0.5,21,1.3,0.94,1936,December,Friday,8 AM - 12 PM,No,Winter,360
1.7,23,1.4,1.11,2000,December,Friday,12 PM - 4 PM,No,Winter,449
2.4,25,1.6,1.16,2000,December,Friday,12 PM - 4 PM,No,Winter,451
3.0,26,2.0,1.01,2000,December,Friday,12 PM - 4 PM,No,Winter,447
2.1,36,3.2,0.54,2000,December,Friday,12 PM - 4 PM,No,Winter,463
1.2,54,4.2,0.24,793,December,Friday,4 PM - 8 PM,No,Winter,484
0.8,58,1.6,0.08,2000,December,Friday,4 PM - 8 PM,No,Winter,555
0.6,66,1.4,0.0,2000,December,Friday,4 PM - 8 PM,No,Winter,862
0.0,77,1.7,0.0,2000,December,Friday,4 PM - 8 PM,No,Winter,600
-0.3,79,1.5,0.0,1913,December,Friday,8 PM - 12 AM,No,Winter,426
